t_s,ref_rpm,rpm_hil,u_hil,rpm_sim,u_sim
1.46,1500.0,1499.998529844283,7.9169,1499.9999999999989,7.916813487046553
1.47,1500.0,1500.0016647194943,7.9168,1499.9999999999989,7.916813487046562
1.48,1500.0,1500.001732650731,7.9168,1500.0000000000007,7.916813487046516
1.49,1500.0,1500.00074321911,7.9168,1500.0000000000007,7.916813487046511
1.5,800.0,1499.9999630498182,5.8251,1500.0000000000007,5.825146820379844
1.51,800.0,1429.0541167087931,4.5725,1429.055880343029,4.572580619356776
1.52,800.0,1310.1011625082572,4.0332,1310.1057461224364,4.0331961467484305
1.53,800.0,1187.1151335155444,3.9724,1187.119373614793,3.972416394137792
1.54,800.0,1085.0914682249545,4.0789,1085.0952405187595,4.0788428861130495
1.55,800.0,1010.034624483118,4.2092,1010.0357411282536,4.209163741693448
1.56,800.0,958.2803302358016,4.203,958.2793476476686,4.20295028889965
1.57,800.0,919.9828170761772,4.1902,919.9799796836046,4.190198411035469
1.58,800.0,890.283962709617,4.1891,890.281203089973,4.189135235276231
1.59,800.0,867.4401886343858,4.1969,867.4392474273187,4.196906948239584
1.6,800.0,850.2530660681132,4.206,850.252958497006,4.206032347775746
1.61,800.0,837.5256358180993,4.2119,837.5267339756942,4.211841768142795
1.62,800.0,828.1099659049869,4.2145,828.1091761358617,4.214460629200019
1.6300000000000001,800.0,821.0764849122096,4.216,821.0739337980428,4.216073109872546
1.6400000000000001,800.0,815.7880060706225,4.2177,815.7881038115571,4.217663250815862
1.6500000000000001,800.0,811.825673495146,4.219,811.8252712092592,4.218989196364497
1.6600000000000001,800.0,808.8638534980133,4.2198,808.8628063776325,4.219847303575934
1.67,800.0,806.6445426592372,4.2204,806.6452236076458,4.220418116987655
1.68,800.0,804.9797703475425,4.2209,804.9814062736317,4.220886309753178
1.69,800.0,803.732621782785,4.2213,803.7336114378242,4.221263704721593
1.7,800.0,802.7997326773907,4.2215,802.7991159001701,4.221525033196101
1.71,800.0,802.0988406746023,4.2217,802.0988283628469,4.221712065233901
1.72,800.0,801.5728722335022,4.2219,801.5735297669924,4.221859784531122
1.73,800.0,801.1803712443362,4.222,801.1796440184046,4.221972865622117
1.74,800.0,800.8863529872388,4.222,800.8844517640969,4.222054711029601
1.75,800.0,800.6630479991044,4.2221,800.663152782134,4.222115378940421
